"code","issue_id","user","status","process_level","updated_date"
"SKN-2568-1001","210001","24501","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-01 09:10:00"
"SKN-2568-1002","210002","13266","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-01 09:20:00"
"SKN-2567-0001","192601","24501","จบคำร้อง","อปท.","2024-01-24 10:30:00"
"SKN-2567-0001","192601","24501","กำลังดำเนินการ","อปท.","2024-01-24 10:12:00"
"SKN-2567-0001","192601","24501","รับเรื่อง","อปท.","2024-01-24 09:45:00"
"SKN-2567-0001","192601","24501","รอคัดกรอง","ผู้ใหญ่บ้าน","2024-01-24 09:20:00"
"SKN-2567-0006","192673","13266","กำลังช่วยเหลือ","อปท.","2024-01-24 14:21:04"
"SKN-2567-0006","192673","13266","กำลังช่วยเหลือ","อปท.","2024-01-24 14:19:20"
"SKN-2567-0006","192673","13266","กำลังช่วยเหลือ","อปท.","2024-01-24 13:33:52"
"SKN-2567-0006","192673","13266","กำลังดำเนินการ","อปท.","2024-01-24 13:32:31"
"SKN-2567-0006","192673","13266","กำลังดำเนินการ","อปท.","2024-01-24 12:03:31"
"SKN-2567-0006","192673","13266","รับเรื่อง","อปท.","2024-01-24 12:03:10"
"SKN-2567-0006","192673","13266","รอคัดกรอง","อปท.","2024-01-24 11:59:29"
"SKN-2567-0006","192673","13266","รอคัดกรอง","ผู้ใหญ่บ้าน","2024-01-24 11:57:31"
"SKN-2567-0003","192635","13266","ลบ","ผู้ใหญ่บ้าน","2024-01-24 11:17:34"
"SKN-2567-0003","192635","13266","รอคัดกรอง","ผู้ใหญ่บ้าน","2024-01-24 11:13:31"
"SKN-2567-0004","192653","13266","จบคำร้อง","อปท.","2024-01-24 11:35:01"
"SKN-2567-0004","192653","13266","กำลังดำเนินการ","อปท.","2024-01-24 11:34:43"
"SKN-2567-0004","192653","13266","กำลังดำเนินการ","อปท.","2024-01-24 11:33:48"
"SKN-2567-0004","192653","13266","กำลังดำเนินการ","อปท.","2024-01-24 11:33:05"
"SKN-2567-0004","192653","13266","รับเรื่อง","อปท.","2024-01-24 11:32:50"
"SKN-2567-0004","192653","13266","รับเรื่อง","อปท.","2024-01-24 11:31:57"
"SKN-2567-0004","192653","13266","รอคัดกรอง","อปท.","2024-01-24 11:29:37"
"SKN-2567-0004","192653","13266","รอคัดกรอง","ผู้ใหญ่บ้าน","2024-01-24 11:28:06"
"SKN-2569-0001","260001","30001","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-05 08:15:00"
"SKN-2569-0001","260001","30001","รับเรื่อง","อปท.","2026-05-05 08:25:00"
"SKN-2569-0001","260001","30001","กำลังดำเนินการ","อปท.","2026-05-05 09:10:00"
"SKN-2569-0002","260002","30002","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-05 09:30:00"
"SKN-2569-0002","260002","30002","ส่งต่อ","อำเภอ","2026-05-05 10:05:00"
"BKK-2569-0001","260101","31001","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-05 10:20:00"
"BKK-2569-0001","260101","31001","รับเรื่อง","อปท.","2026-05-05 10:45:00"
"BKK-2569-0001","260101","31001","กำลังช่วยเหลือ","อปท.","2026-05-05 11:30:00"
"BKK-2569-0002","260102","31002","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-05 12:00:00"
"BKK-2569-0002","260102","31002","จบคำร้อง","อปท.","2026-05-05 13:15:00"
"UTH-2569-0001","260201","32001","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-05 13:30:00"
"UTH-2569-0001","260201","32001","รับเรื่อง","อำเภอ","2026-05-05 14:00:00"
"UTH-2569-0001","260201","32001","กำลังดำเนินการ","จังหวัด","2026-05-05 14:40:00"
"UTH-2569-0002","260202","32002","รอคัดกรอง","ผู้ใหญ่บ้าน","2026-05-05 15:05:00"
"UTH-2569-0002","260202","32002","ส่งต่อ","อำเภอ","2026-05-05 15:35:00"
